freq	A
4.8500000000000	0.960671
4.8600000000000	0.960372
4.8700000000000	0.960074
4.8800000000000	0.959776
4.8900000000000	0.959479
4.9000000000000	0.959183
4.9100000000000	0.958888
4.9200000000000	0.958594
4.9300000000000	0.958300
4.9400000000000	0.958008
4.9500000000000	0.957716
4.9600000000000	0.957425
4.9700000000000	0.957135
4.9800000000000	0.956847
4.9900000000000	0.956559
5.0000000000000	0.956272
5.0100000000000	0.955986
5.0200000000000	0.955701
5.0300000000000	0.955418
5.0400000000000	0.955135
5.0500000000000	0.954854
5.0600000000000	0.954573
5.0700000000000	0.954294
5.0800000000000	0.954016
5.0900000000000	0.953739
5.1000000000000	0.953463
5.1100000000000	0.953188
5.1200000000000	0.952915
5.1300000000000	0.952643
5.1400000000000	0.952371
