#Parameters = {Lh=0.033016666666667; Oa=0.049839326046652; Oo=0.0041966915170919; a=0.5; d=0.035; h=9; p=3; phi=0; r_1=2; r_2=2.7; s=0.2; t=0.2; theta=0; w=12}
#"Wavelength / nm"	"T_Zmax(2),Zmax(1) [Magnitude / dB]"
#------------------------------------------------------
29077832.977692	-55.681501262157
29106063.883495	-55.691242390073
29134349.659864	-55.701003881377
29162690.466926	-55.710785542791
29191086.465433	-55.720587180622
29219537.816764	-55.730408600778
29248044.682927	-55.740249608778
29276607.226562	-55.750110009764
29305225.610948	-55.759989608517
29333900.000000	-55.769888209467
29362630.558276	-55.779805616709
29391417.450980	-55.789741634016
29420260.843965	-55.799696064856
29449160.903733	-55.809668712404
29478117.797443	-55.819659379561
29507131.692913	-55.829667868965
29536202.758621	-55.839693983011
29565331.163708	-55.849737523866
29594517.077986	-55.859798293489
29623760.671937	-55.869876093639
29653062.116716	-55.879970725904
29682421.584158	-55.890081991711
29711839.246779	-55.900209692345
29741315.277778	-55.910353628969
29770849.851043	-55.920513602642
29800443.141153	-55.930689414336
29830095.323383	-55.940880864958
29859806.573705	-55.951087755365
29889577.068794	-55.961309886387
29919406.986028	-55.971547058843
29949296.503496	-55.981799073564
29979245.800000	-55.992065731413
30009255.055055	-56.002346833300
30039324.448898	-56.012642180208
30069454.162487	-56.022951573211
30099644.377510	-56.033274813493
30129895.276382	-56.043611702372
30160207.042254	-56.053962041316
30190579.859013	-56.064325631969
30221013.911290	-56.074702276169
30251509.384460	-56.085091775969
30282066.464646	-56.095493933658
30312685.338726	-56.105908551785
30343366.194332	-56.116335433175
30374109.219858	-56.126774380956
30404914.604462	-56.137225198576
30435782.538071	-56.147687689826
30466713.211382	-56.158161658864
30497706.815870	-56.168646910230
30528763.543788	-56.179143248875
30559883.588175	-56.189650480177
30591067.142857	-56.200168409965
30622314.402451	-56.210696844541
30653625.562372	-56.221235590698
30685000.818833	-56.231784455747
30716440.368852	-56.242343247533
30747944.410256	-56.252911774460
30779513.141684	-56.263489845511
30811146.762590	-56.274077270271
30842845.473251	-56.284673858946
30874609.474768	-56.295279422383
30906438.969072	-56.305893772099
30938334.158927	-56.316516720291
30970295.247934	-56.327148079866
31002322.440538	-56.337787664458
31034415.942029	-56.348435288451
31066575.958549	-56.359090766996
31098802.697095	-56.369753916036
31131096.365524	-56.380424552325
31163457.172557	-56.391102493449
31195885.327784	-56.401787557845
31228381.041667	-56.412479564823
31260944.525547	-56.423178334587
31293575.991649	-56.433883688251
31326275.653083	-56.444595447865
31359043.723849	-56.455313436430
31391880.418848	-56.466037477919
31424785.953878	-56.476767397300
31457760.545645	-56.487503020550
31490804.411765	-56.498244174677
31523917.770768	-56.508990687742
31557100.842105	-56.519742388872
31590353.846154	-56.530499108284
31623677.004219	-56.541260677302
31657070.538543	-56.552026928376
31690534.672304	-56.562797695099
31724069.629630	-56.573572812225
31757675.635593	-56.584352115693
31791352.916225	-56.595135442636
31825101.698514	-56.605922631404
31858922.210414	-56.616713521583
31892814.680851	-56.627507954008
31926779.339723	-56.638305770782
31960816.417910	-56.649106815296
31994926.147279	-56.659910932241
32029108.760684	-56.670717967627
32063364.491979	-56.681527768802
32097693.576017	-56.692340184462
32132096.248660	-56.703155064674
32166572.746781	-56.713972260887
32201123.308271	-56.724791625951
32235748.172043	-56.735613014130
32270447.578041	-56.746436281117
32305221.767241	-56.757261284054
32340070.981661	-56.768087881539
32374995.464363	-56.778915933649
32409995.459459	-56.789745301947
32445071.212121	-56.800575849503
32480222.968581	-56.811407440902
32515450.976139	-56.822239942262
32550755.483170	-56.833073221246
32586136.739130	-56.843907147076
32621594.994559	-56.854741590545
32657130.501089	-56.865576424031
32692743.511450	-56.876411521512
32728434.279476	-56.887246758572
32764203.060109	-56.898082012420
32800050.109409	-56.908917161900
32835975.684556	-56.919752087500
32871980.043860	-56.930586671368
32908063.446762	-56.941420797321
32944226.153846	-56.952254350856
32980468.426843	-56.963087219162
33016790.528634	-56.973919291131
33053192.723264	-56.984750457365
33089675.275938	-56.995580610192
33126238.453039	-57.006409643672
33162882.522124	-57.017237453607
33199607.751938	-57.028063937553
33236414.412417	-57.038888994825
33273302.774695	-57.049712526512
33310273.111111	-57.060534435480
33347325.695217	-57.071354626384
33384460.801782	-57.082173005677
33421678.706800	-57.092989481614
33458979.687500	-57.103803964265
33496364.022346	-57.114616365519
33533831.991051	-57.125426599093
33571383.874580	-57.136234580538
33609019.955157	-57.147040227248
33646740.516274	-57.157843458465
33684545.842697	-57.168644195286
33722436.220472	-57.179442360668
33760411.936937	-57.190237879437
33798473.280722	-57.201030678290
33836620.541761	-57.211820685803
33874854.011299	-57.222607832434
33913173.981900	-57.233392050532
33951580.747452	-57.244173274337
33990074.603175	-57.254951439988
34028655.845630	-57.265726485523
34067324.772727	-57.276498350890
34106081.683732	-57.287266977943
34144926.879271	-57.298032310450
34183860.661345	-57.308794294096
34222883.333333	-57.319552876485
34261995.200000	-57.330308007141
34301196.567506	-57.341059637514
34340487.743414	-57.351807720982
34379869.036697	-57.362552212847
34419340.757750	-57.373293070347
34458903.218391	-57.384030252647
34498556.731876	-57.394763720847
34538301.612903	-57.405493437981
34578138.177624	-57.416219369016
34618066.743649	-57.426941480856
34658087.630058	-57.437659742338
34698201.157407	-57.448374124236
34738407.647740	-57.459084599257
34778707.424594	-57.469791142044
34819100.813008	-57.480493729171
34859588.139535	-57.491192339146
34900169.732247	-57.501886952406
34940845.920746	-57.512577551318
34981617.036173	-57.523264120176
35022483.411215	-57.533946645200
35063445.380117	-57.544625114531
35104503.278689	-57.555299518230
35145657.444314	-57.565969848276
35186908.215962	-57.576636098560
35228255.934195	-57.587298264885
35269700.941176	-57.597956344959
35311243.580683	-57.608610338392
35352884.198113	-57.619260246694
35394623.140496	-57.629906073267
35436460.756501	-57.640547823401
35478397.396450	-57.651185504271
35520433.412322	-57.661819124930
35562569.157770	-57.672448696303
35604804.988124	-57.683074231180
35647141.260404	-57.693695744215
35689578.333333	-57.704313251914
35732116.567342	-57.714926772628
35774756.324582	-57.725536326552
35817497.968937	-57.736141935711
35860341.866029	-57.746743623956
35903288.383234	-57.757341416958
35946337.889688	-57.767935342192
35989490.756303	-57.778525428940
36032747.355769	-57.789111708271
36076108.062575	-57.799694213040
