#Parameters = {a=0.5; d=0.035; h=9; p=3; phi=0; r_1=2; r_2=2.7; s=0.2; t=0.2; theta=0; w=12}
#"Wavelength / nm"	"T_Zmax(2),Zmax(1) [Magnitude]"
#-------------------------------------------------
30435782.538071	2.2886631741243e-07
30466713.211382	2.2794230077324e-07
30497706.815870	2.2702117644324e-07
30528763.543788	2.2610293364711e-07
30559883.588175	2.2518756179251e-07
30591067.142857	2.2427505047024e-07
30622314.402451	2.2336538945429e-07
30653625.562372	2.2245856870183e-07
30685000.818833	2.2155457835309e-07
30716440.368852	2.2065340873115e-07
30747944.410256	2.1975505034169e-07
30779513.141684	2.1885949387260e-07
30811146.762590	2.1796673019356e-07
30842845.473251	2.1707675035549e-07
30874609.474768	2.1618954558998e-07
30906438.969072	2.1530510730862e-07
30938334.158927	2.1442342710225e-07
30970295.247934	2.1354449674015e-07
31002322.440538	2.1266830816914e-07
31034415.942029	2.1179485351267e-07
31066575.958549	2.1092412506976e-07
31098802.697095	2.1005611531396e-07
31131096.365524	2.0919081689218e-07
31163457.172557	2.0832822262351e-07
31195885.327784	2.0746832549794e-07
31228381.041667	2.0661111867503e-07
31260944.525547	2.0575659548257e-07
31293575.991649	2.0490474941514e-07
31326275.653083	2.0405557413260e-07
31359043.723849	2.0320906345858e-07
31391880.418848	2.0236521137888e-07
31424785.953878	2.0152401203986e-07
31457760.545645	2.0068545974673e-07
31490804.411765	1.9984954896186e-07
31523917.770768	1.9901627430298e-07
31557100.842105	1.9818563054135e-07
31590353.846154	1.9735761259998e-07
31623677.004219	1.9653221555166e-07
31657070.538543	1.9570943461707e-07
31690534.672304	1.9488926516278e-07
31724069.629630	1.9407170269927e-07
31757675.635593	1.9325674287891e-07
31791352.916225	1.9244438149381e-07
31825101.698514	1.9163461447382e-07
31858922.210414	1.9082743788430e-07
31892814.680851	1.9002284792402e-07
31926779.339723	1.8922084092295e-07
31960816.417910	1.8842141334001e-07
31994926.147279	1.8762456176090e-07
32029108.760684	1.8683028289575e-07
32063364.491979	1.8603857357688e-07
32097693.576017	1.8524943075649e-07
32132096.248660	1.8446285150429e-07
32166572.746781	1.8367883300519e-07
32201123.308271	1.8289737255691e-07
32235748.172043	1.8211846756760e-07
32270447.578041	1.8134211555343e-07
32305221.767241	1.8056831413617e-07
32340070.981661	1.7979706104081e-07
32374995.464363	1.7902835409302e-07
32409995.459459	1.7826219121682e-07
32445071.212121	1.7749857043199e-07
32480222.968581	1.7673748985171e-07
32515450.976139	1.7597894768001e-07
32550755.483170	1.7522294220931e-07
32586136.739130	1.7446947181791e-07
32621594.994559	1.7371853496753e-07
32657130.501089	1.7297013020076e-07
32692743.511450	1.7222425613860e-07
32728434.279476	1.7148091147791e-07
32764203.060109	1.7074009498897e-07
32800050.109409	1.7000180551290e-07
32835975.684556	1.6926604195921e-07
32871980.043860	1.6853280330325e-07
32908063.446762	1.6780208858378e-07
32944226.153846	1.6707389690039e-07
32980468.426843	1.6634822741108e-07
33016790.528634	1.6562507932974e-07
33053192.723264	1.6490445192367e-07
33089675.275938	1.6418634451112e-07
33126238.453039	1.6347075645883e-07
33162882.522124	1.6275768717957e-07
33199607.751938	1.6204713612970e-07
33236414.412417	1.6133910280672e-07
33273302.774695	1.6063358674689e-07
33310273.111111	1.5993058752277e-07
33347325.695217	1.5923010474086e-07
33384460.801782	1.5853213803921e-07
33421678.706800	1.5783668708504e-07
33458979.687500	1.5714375157241e-07
33496364.022346	1.5645333121985e-07
33533831.991051	1.5576542576809e-07
33571383.874580	1.5508003497770e-07
33609019.955157	1.5439715862685e-07
33646740.516274	1.5371679650901e-07
33684545.842697	1.5303894843076e-07
33722436.220472	1.5236361420948e-07
33760411.936937	1.5169079367121e-07
33798473.280722	1.5102048664845e-07
33836620.541761	1.5035269297796e-07
33874854.011299	1.4968741249869e-07
33913173.981900	1.4902464504959e-07
33951580.747452	1.4836439046754e-07
33990074.603175	1.4770664858529e-07
34028655.845630	1.4705141922942e-07
34067324.772727	1.4639870221826e-07
34106081.683732	1.4574849735998e-07
34144926.879271	1.4510080445053e-07
34183860.661345	1.4445562327177e-07
34222883.333333	1.4381295358948e-07
34261995.200000	1.4317279515152e-07
34301196.567506	1.4253514768596e-07
34340487.743414	1.4190001089920e-07
34379869.036697	1.4126738447421e-07
34419340.757750	1.4063726806872e-07
34458903.218391	1.4000966131349e-07
34498556.731876	1.3938456381054e-07
34538301.612903	1.3876197513151e-07
34578138.177624	1.3814189481598e-07
34618066.743649	1.3752432236981e-07
34658087.630058	1.3690925726356e-07
34698201.157407	1.3629669893092e-07
34738407.647740	1.3568664676713e-07
34778707.424594	1.3507910012753e-07
34819100.813008	1.3447405832602e-07
34859588.139535	1.3387152063363e-07
34900169.732247	1.3327148627711e-07
34940845.920746	1.3267395443754e-07
34981617.036173	1.3207892424897e-07
35022483.411215	1.3148639479710e-07
35063445.380117	1.3089636511797e-07
35104503.278689	1.3030883419675e-07
35145657.444314	1.2972380096646e-07
35186908.215962	1.2914126430679e-07
35228255.934195	1.2856122304296e-07
35269700.941176	1.2798367594458e-07
35311243.580683	1.2740862172454e-07
35352884.198113	1.2683605903796e-07
35394623.140496	1.2626598648114e-07
35436460.756501	1.2569840259059e-07
35478397.396450	1.2513330584203e-07
35520433.412322	1.2457069464950e-07
35562569.157770	1.2401056736442e-07
35604804.988124	1.2345292227472e-07
35647141.260404	1.2289775760405e-07
35689578.333333	1.2234507151091e-07
35732116.567342	1.2179486208793e-07
35774756.324582	1.2124712736113e-07
35817497.968937	1.2070186528916e-07
35860341.866029	1.2015907376271e-07
35903288.383234	1.1961875060378e-07
35946337.889688	1.1908089356514e-07
35989490.756303	1.1854550032969e-07
36032747.355769	1.1801256850998e-07
36076108.062575	1.1748209564763e-07
36119573.253012	1.1695407921289e-07
36163143.305187	1.1642851660416e-07
36206818.599034	1.1590540514759e-07
36250599.516324	1.1538474209667e-07
36294486.440678	1.1486652463186e-07
36338479.757576	1.1435074986030e-07
36382579.854369	1.1383741481548e-07
36426787.120292	1.1332651645695e-07
36471101.946472	1.1281805167012e-07
36515524.725944	1.1231201726603e-07
36560055.853659	1.1180840998117e-07
36604695.726496	1.1130722647732e-07
36649444.743276	1.1080846334143e-07
36694303.304774	1.1031211708552e-07
36739271.813725	1.0981818414662e-07
36784350.674847	1.0932666088673e-07
36829540.294840	1.0883754359280e-07
36874841.082411	1.0835082847673e-07
36920253.448276	1.0786651167546e-07
36965777.805179	1.0738458925096e-07
37011414.567901	1.0690505719043e-07
37057164.153276	1.0642791140630e-07
37103026.980198	1.0595314773648e-07
37149003.469641	1.0548076194447e-07
37195094.044665	1.0501074971957e-07
37241299.130435	1.0454310667713e-07
37287619.154229	1.0407782835873e-07
37334054.545455	1.0361491023253e-07
37380605.735661	1.0315434769349e-07
37427273.158552	1.0269613606376e-07
37474057.250000	1.0224027059293e-07
37520958.448060	1.0178674645848e-07
37567977.192982	1.0133555876609e-07
37615113.927227	1.0088670255011e-07
37662369.095477	1.0044017277393e-07
37709743.144654	9.9995964330481e-08
37757236.523929	9.9554072042645e-08
37804849.684741	9.9114490663796e-08
37852583.080808	9.8677214878281e-08
37900437.168142	9.8242239301956e-08
37948412.405063	9.7809558482731e-08
37996509.252218	9.7379166901136e-08
38044728.172589	9.6951058970908e-08
38093069.631512	9.6525229039586e-08
38141534.096692	9.6101671389140e-08
38190122.038217	9.5680380236599e-08
38238833.928571	9.5261349734709e-08
38287670.242656	9.4844573972600e-08
38336631.457801	9.4430046976472e-08
38385718.053777	9.4017762710299e-08
38434930.512821	9.3607715076538e-08
38484269.319641	9.3199897916864e-08
38533734.961440	9.2794305012917e-08
38583327.927928	9.2390930087053e-08
38633048.711340	9.1989766803123e-08
38682897.806452	9.1590808767255e-08
38732875.710594	9.1194049528652e-08
38782982.923674	9.0799482580401e-08
38833219.948187	9.0407101360296e-08
38883587.289235	9.0016899251672e-08
38934085.454545	8.9628869584245e-08
38984714.954486	8.9243005634971e-08
39035476.302083	8.8859300628909e-08
39086370.013038	8.8477747740097e-08
39137396.605744	8.8098340092434e-08
39188556.601307	8.7721070760576e-08
39239850.523560	8.7345932770834e-08
39291278.899083	8.6972919102091e-08
39342842.257218	8.6602022686712e-08
39394541.130092	8.6233236411476e-08
39446376.052632	8.5866553118505e-08
39498347.562582	8.5501965606204e-08
39550456.200528	8.5139466630209e-08
39602702.509908	8.4779048904337e-08
39655087.037037	8.4420705101543e-08
39707610.331126	8.4064427854883e-08
39760272.944297	8.3710209758485e-08
39813075.431607	8.3358043368515e-08
39866018.351064	8.3007921204159e-08
39919102.263648	8.2659835748598e-08
39972327.733333	8.2313779449998e-08
40025695.327103	8.1969744722491e-08
40079205.614973	8.1627723947168e-08
40132859.170013	8.1287709473069e-08
40186656.568365	8.0949693618179e-08
40240598.389262	8.0613668670423e-08
40294685.215054	8.0279626888664e-08
40348917.631225	7.9947560503700e-08
40403296.226415	7.9617461719267e-08
40457821.592443	7.9289322713035e-08
40512494.324324	7.8963135637610e-08
40567315.020298	7.8638892621534e-08
40622284.281843	7.8316585770287e-08
40677402.713704	7.7996207167279e-08
40732670.923913	7.7677748874858e-08
40788089.523810	7.7361202935298e-08
40843659.128065	7.7046561371799e-08
40899380.354707	7.6733816189479e-08
40955253.825137	7.6422959376365e-08
41011280.164159	7.6113982904384e-08
41067460.000000	7.5806878730346e-08
41123793.964335	7.5501638796929e-08
41180282.692308	7.5198255033662e-08
41236926.822558	7.4896719357896e-08
41293726.997245	7.4597023675785e-08
41350683.862069	7.4299159883247e-08
41407798.066298	7.4003119866935e-08
41465070.262794	7.3708895505199e-08
41522501.108033	7.3416478669037e-08
41580091.262136	7.3125861223051e-08
41637841.388889	7.2837035026393e-08
41695752.155772	7.2549991933707e-08
41753824.233983	7.2264723796062e-08
41812058.298466	7.1981222461888e-08
41870455.027933	7.1699479777896e-08
41929015.104895	7.1419487590000e-08
41987739.215686	7.1141237744229e-08
42046628.050491	7.0864722087632e-08
42105682.303371	7.0589932469180e-08
42164902.672293	7.0316860740658e-08
42224289.859155	7.0045498757553e-08
42283844.569817	6.9775838379933e-08
42343567.514124	6.9507871473317e-08
42403459.405941	6.9241589909543e-08
42463520.963173	6.8976985567627e-08
42523752.907801	6.8714050334609e-08
42584155.965909	6.8452776106398e-08
42644730.867710	6.8193154788609e-08
42705478.347578	6.7935178297383e-08
42766399.144080	6.7678838560215e-08
42827494.000000	6.7424127516756e-08
42888763.662375	6.7171037119622e-08
42950208.882521	6.6919559335184e-08
43011830.416069	6.6669686144354e-08
43073629.022989	6.6421409543365e-08
43135605.467626	6.6174721544535e-08
43197760.518732	6.5929614177031e-08
43260094.949495	6.5686079487616e-08
43322609.537572	6.5444109541393e-08
43385305.065123	6.5203696422540e-08
43448182.318841	6.4964832235028e-08
43511242.089985	6.4727509103344e-08
43574485.174419	6.4491719173189e-08
43637912.372635	6.4257454612180e-08
43701524.489796	6.4024707610536e-08
43765322.335766	6.3793470381755e-08
43829306.725146	6.3563735163284e-08
